抽卡时间	名称	类别	星级
2021-07-21 16:54:18	神射手之誓	武器	3
2021-07-21 19:21:24	讨龙英杰谭	武器	3
2021-07-21 23:48:01	翡玉法球	武器	3
2021-07-22 01:18:24	翡玉法球	武器	3
2021-07-22 04:01:12	翡玉法球	武器	3
2021-07-22 15:03:57	天空之脊	武器	5
2021-07-22 15:05:21	烟绯	角色	4
2021-07-22 15:05:26	以理服人	武器	3
2021-07-24 13:33:09	鸦羽弓	武器	3
2021-07-25 01:00:48	黎明神剑	武器	3
2021-07-25 13:05:32	飞天御剑	武器	3
2021-07-25 13:05:32	翡玉法球	武器	3
2021-07-25 13:05:32	鸦羽弓	武器	3
2021-07-25 13:05:32	冷刃	武器	3
2021-07-25 13:05:32	魔导绪论	武器	3
2021-07-25 13:05:32	以理服人	武器	3
2021-07-25 13:05:32	弹弓	武器	3
2021-07-25 13:05:32	弹弓	武器	3
2021-07-25 13:05:32	西风长枪	武器	4
2021-07-25 13:05:32	鸦羽弓	武器	3
2021-07-25 13:05:58	黎明神剑	武器	3
2021-07-25 13:06:37	黑缨枪	武器	3
2021-07-25 13:06:37	弹弓	武器	3
2021-07-25 13:06:37	神射手之誓	武器	3
2021-07-25 13:06:37	讨龙英杰谭	武器	3
2021-07-25 13:06:37	黎明神剑	武器	3
2021-07-25 13:06:37	以理服人	武器	3
2021-07-25 13:06:37	西风长枪	武器	4
2021-07-25 13:06:37	弹弓	武器	3
2021-07-25 13:06:37	神射手之誓	武器	3
2021-07-25 13:06:37	以理服人	武器	3
2021-07-25 13:06:50	绝弦	武器	4
2021-07-25 13:06:50	鸦羽弓	武器	3
2021-07-25 13:06:50	沐浴龙血的剑	武器	3
2021-07-25 13:06:50	以理服人	武器	3
2021-07-25 13:06:50	西风秘典	武器	4
2021-07-25 13:06:50	以理服人	武器	3
2021-07-25 13:06:50	神射手之誓	武器	3
2021-07-25 13:06:50	神射手之誓	武器	3
2021-07-25 13:06:50	黎明神剑	武器	3
2021-07-25 13:06:50	黑缨枪	武器	3
2021-07-25 13:07:07	飞天御剑	武器	3
2021-07-25 13:07:07	神射手之誓	武器	3
2021-07-25 13:07:07	铁影阔剑	武器	3
2021-07-25 13:07:07	讨龙英杰谭	武器	3
2021-07-25 13:07:07	黑缨枪	武器	3
2021-07-25 13:07:07	讨龙英杰谭	武器	3
2021-07-25 13:07:07	砂糖	角色	4
2021-07-25 13:07:07	鸦羽弓	武器	3
2021-07-25 13:07:07	沐浴龙血的剑	武器	3
2021-07-25 13:07:07	翡玉法球	武器	3
2021-07-25 13:07:27	以理服人	武器	3
2021-07-25 13:07:27	沐浴龙血的剑	武器	3
2021-07-25 13:07:27	飞天御剑	武器	3
2021-07-25 13:07:27	西风剑	武器	4
2021-07-25 13:07:27	铁影阔剑	武器	3
2021-07-25 13:07:27	黎明神剑	武器	3
2021-07-25 13:07:27	黑缨枪	武器	3
2021-07-25 13:07:27	鸦羽弓	武器	3
2021-07-25 13:07:27	以理服人	武器	3
2021-07-25 13:07:27	飞天御剑	武器	3
2021-07-25 13:07:39	祭礼大剑	武器	4
2021-07-25 13:07:39	翡玉法球	武器	3
2021-07-25 13:07:39	翡玉法球	武器	3
2021-07-25 13:07:39	翡玉法球	武器	3
2021-07-25 13:07:39	铁影阔剑	武器	3
2021-07-25 13:07:39	讨龙英杰谭	武器	3
2021-07-25 13:07:39	神射手之誓	武器	3
2021-07-25 13:07:39	铁影阔剑	武器	3
2021-07-25 13:07:39	黎明神剑	武器	3
2021-07-25 13:07:39	以理服人	武器	3
2021-07-25 13:08:14	黎明神剑	武器	3
2021-07-25 13:08:19	西风长枪	武器	4
2021-07-25 13:08:22	弹弓	武器	3
2021-07-25 13:08:30	讨龙英杰谭	武器	3
2021-07-25 13:10:16	芭芭拉	角色	4
2021-07-25 13:10:16	铁影阔剑	武器	3
2021-07-25 13:10:16	翡玉法球	武器	3
2021-07-25 13:10:16	黑缨枪	武器	3
2021-07-25 13:10:16	以理服人	武器	3
2021-07-25 13:10:16	魔导绪论	武器	3
2021-07-25 13:10:16	黑缨枪	武器	3
2021-07-25 13:10:16	天空之脊	武器	5
2021-07-25 13:10:16	冷刃	武器	3
2021-07-25 13:10:16	飞天御剑	武器	3
2021-07-25 13:10:58	西风剑	武器	4
2021-07-25 13:10:58	翡玉法球	武器	3
2021-07-25 13:10:58	魔导绪论	武器	3
2021-07-25 13:10:58	雾切之回光	武器	5
2021-07-25 13:10:58	以理服人	武器	3
2021-07-25 13:10:58	黎明神剑	武器	3
2021-07-25 13:10:58	铁影阔剑	武器	3
2021-07-25 13:10:58	冷刃	武器	3
2021-07-25 13:10:58	黎明神剑	武器	3
2021-07-25 13:10:58	黑缨枪	武器	3
2021-07-29 19:02:06	冷刃	武器	3
2021-07-29 19:02:13	鸦羽弓	武器	3
2021-07-29 19:02:19	芭芭拉	角色	4
